,dt,City,Country,AverageTemperature
133735,2006-06-01,Los Angeles,United States,23.596
133736,2006-07-01,Los Angeles,United States,27.336
133737,2006-08-01,Los Angeles,United States,23.75
133738,2006-09-01,Los Angeles,United States,22.201
133739,2006-10-01,Los Angeles,United States,16.433
133740,2006-11-01,Los Angeles,United States,14.687
133741,2006-12-01,Los Angeles,United States,10.042
133742,2007-01-01,Los Angeles,United States,8.391
133743,2007-02-01,Los Angeles,United States,10.897
133744,2007-03-01,Los Angeles,United States,14.809
133745,2007-04-01,Los Angeles,United States,14.889
133746,2007-05-01,Los Angeles,United States,18.107
133747,2007-06-01,Los Angeles,United States,21.846
133748,2007-07-01,Los Angeles,United States,25.265
133749,2007-08-01,Los Angeles,United States,25.406
133750,2007-09-01,Los Angeles,United States,20.896
133751,2007-10-01,Los Angeles,United States,17.295
133752,2007-11-01,Los Angeles,United States,14.4
133753,2007-12-01,Los Angeles,United States,8.198
133754,2008-01-01,Los Angeles,United States,8.196
133755,2008-02-01,Los Angeles,United States,10.489
133756,2008-03-01,Los Angeles,United States,13.466
133757,2008-04-01,Los Angeles,United States,14.927999999999999
133758,2008-05-01,Los Angeles,United States,17.134999999999998
133759,2008-06-01,Los Angeles,United States,23.12
133760,2008-07-01,Los Angeles,United States,25.032
133761,2008-08-01,Los Angeles,United States,25.23200000000001
133762,2008-09-01,Los Angeles,United States,23.37
133763,2008-10-01,Los Angeles,United States,19.398
133764,2008-11-01,Los Angeles,United States,15.323
133765,2008-12-01,Los Angeles,United States,8.488
133766,2009-01-01,Los Angeles,United States,11.882
133767,2009-02-01,Los Angeles,United States,9.635
133768,2009-03-01,Los Angeles,United States,11.995999999999999
133769,2009-04-01,Los Angeles,United States,13.968
133770,2009-05-01,Los Angeles,United States,20.035
133771,2009-06-01,Los Angeles,United States,19.307
133772,2009-07-01,Los Angeles,United States,25.717
133773,2009-08-01,Los Angeles,United States,24.384
133774,2009-09-01,Los Angeles,United States,24.265
133775,2009-10-01,Los Angeles,United States,16.637999999999998
133776,2009-11-01,Los Angeles,United States,13.778
133777,2009-12-01,Los Angeles,United States,8.519
133778,2010-01-01,Los Angeles,United States,10.09
133779,2010-02-01,Los Angeles,United States,10.353
133780,2010-03-01,Los Angeles,United States,12.437
133781,2010-04-01,Los Angeles,United States,12.283
133782,2010-05-01,Los Angeles,United States,15.895
133783,2010-06-01,Los Angeles,United States,20.724
133784,2010-07-01,Los Angeles,United States,23.636
133785,2010-08-01,Los Angeles,United States,23.545
133786,2010-09-01,Los Angeles,United States,22.42
133787,2010-10-01,Los Angeles,United States,16.91
133788,2010-11-01,Los Angeles,United States,12.114
133789,2010-12-01,Los Angeles,United States,10.237
133790,2011-01-01,Los Angeles,United States,10.432
133791,2011-02-01,Los Angeles,United States,8.759
133792,2011-03-01,Los Angeles,United States,11.985
133793,2011-04-01,Los Angeles,United States,14.217
133794,2011-05-01,Los Angeles,United States,15.729
133795,2011-06-01,Los Angeles,United States,19.339
133796,2011-07-01,Los Angeles,United States,23.987
133797,2011-08-01,Los Angeles,United States,24.567
133798,2011-09-01,Los Angeles,United States,22.728
133799,2011-10-01,Los Angeles,United States,18.244
133800,2011-11-01,Los Angeles,United States,11.643
133801,2011-12-01,Los Angeles,United States,8.867999999999997
133802,2012-01-01,Los Angeles,United States,11.581
133803,2012-02-01,Los Angeles,United States,10.609000000000002
133804,2012-03-01,Los Angeles,United States,11.575999999999999
133805,2012-04-01,Los Angeles,United States,14.751
133806,2012-05-01,Los Angeles,United States,18.677
133807,2012-06-01,Los Angeles,United States,21.066
133808,2012-07-01,Los Angeles,United States,23.851
133809,2012-08-01,Los Angeles,United States,26.892000000000003
133810,2012-09-01,Los Angeles,United States,24.745
133811,2012-10-01,Los Angeles,United States,18.712
133812,2012-11-01,Los Angeles,United States,13.903
133813,2012-12-01,Los Angeles,United States,8.712
133814,2013-01-01,Los Angeles,United States,8.812999999999997
133815,2013-02-01,Los Angeles,United States,9.804
133816,2013-03-01,Los Angeles,United States,14.463
133817,2013-04-01,Los Angeles,United States,15.921
133818,2013-05-01,Los Angeles,United States,19.028
133819,2013-06-01,Los Angeles,United States,22.434
133820,2013-07-01,Los Angeles,United States,25.09
133821,2013-08-01,Los Angeles,United States,24.23200000000001
133822,2013-09-01,Los Angeles,United States,23.301
172844,2000-02-01,New York,United States,-0.16199999999999992
172845,2000-03-01,New York,United States,6.391
172846,2000-04-01,New York,United States,8.897
172847,2000-05-01,New York,United States,15.944
172848,2000-06-01,New York,United States,20.234
172849,2000-07-01,New York,United States,20.727
172850,2000-08-01,New York,United States,20.791
172851,2000-09-01,New York,United States,17.095
172852,2000-10-01,New York,United States,11.323
172853,2000-11-01,New York,United States,4.913
172854,2000-12-01,New York,United States,-3.3560000000000003
172855,2001-01-01,New York,United States,-2.814
172856,2001-02-01,New York,United States,-0.442
172857,2001-03-01,New York,United States,1.884
172858,2001-04-01,New York,United States,9.92
172859,2001-05-01,New York,United States,16.014
172860,2001-06-01,New York,United States,20.907
172861,2001-07-01,New York,United States,21.045
172862,2001-08-01,New York,United States,23.507
172863,2001-09-01,New York,United States,17.473999999999997
172864,2001-10-01,New York,United States,11.989999999999998
172865,2001-11-01,New York,United States,8.212
172866,2001-12-01,New York,United States,3.4750000000000005
172867,2002-01-01,New York,United States,1.2520000000000002
172868,2002-02-01,New York,United States,2.1260000000000003
172869,2002-03-01,New York,United States,4.677
172870,2002-04-01,New York,United States,11.125
172871,2002-05-01,New York,United States,14.171
172872,2002-06-01,New York,United States,20.623
172873,2002-07-01,New York,United States,23.931
172874,2002-08-01,New York,United States,23.558000000000003
172875,2002-09-01,New York,United States,19.125
172876,2002-10-01,New York,United States,10.446
172877,2002-11-01,New York,United States,4.945
172878,2002-12-01,New York,United States,-0.953
172879,2003-01-01,New York,United States,-5.223
172880,2003-02-01,New York,United States,-3.786
172881,2003-03-01,New York,United States,3.526
172882,2003-04-01,New York,United States,8.185
172883,2003-05-01,New York,United States,13.817
172884,2003-06-01,New York,United States,18.96
172885,2003-07-01,New York,United States,22.864
172886,2003-08-01,New York,United States,23.243000000000002
172887,2003-09-01,New York,United States,18.262
172888,2003-10-01,New York,United States,10.201999999999998
172889,2003-11-01,New York,United States,7.603
172890,2003-12-01,New York,United States,0.3790000000000001
172891,2004-01-01,New York,United States,-6.3249999999999975
172892,2004-02-01,New York,United States,-1.332
172893,2004-03-01,New York,United States,4.525
172894,2004-04-01,New York,United States,10.057
172895,2004-05-01,New York,United States,17.8
172896,2004-06-01,New York,United States,19.761
172897,2004-07-01,New York,United States,21.946
172898,2004-08-01,New York,United States,21.771
172899,2004-09-01,New York,United States,18.843
172900,2004-10-01,New York,United States,10.96
172901,2004-11-01,New York,United States,6.682
172902,2004-12-01,New York,United States,-0.014000000000000012
172903,2005-01-01,New York,United States,-3.611
172904,2005-02-01,New York,United States,-0.6090000000000002
172905,2005-03-01,New York,United States,1.125
172906,2005-04-01,New York,United States,10.633
172907,2005-05-01,New York,United States,13.267000000000001
172908,2005-06-01,New York,United States,22.169
172909,2005-07-01,New York,United States,23.704
172910,2005-08-01,New York,United States,23.941
172911,2005-09-01,New York,United States,20.238
172912,2005-10-01,New York,United States,12.058
172913,2005-11-01,New York,United States,7.019
172914,2005-12-01,New York,United States,-1.757
172915,2006-01-01,New York,United States,1.608
172916,2006-02-01,New York,United States,-0.5650000000000002
172917,2006-03-01,New York,United States,3.776
172918,2006-04-01,New York,United States,10.709
172919,2006-05-01,New York,United States,15.637
172920,2006-06-01,New York,United States,20.445
172921,2006-07-01,New York,United States,24.165
172922,2006-08-01,New York,United States,22.42
172923,2006-09-01,New York,United States,16.945999999999998
172924,2006-10-01,New York,United States,10.811
172925,2006-11-01,New York,United States,8.418
172926,2006-12-01,New York,United States,3.8610000000000007
172927,2007-01-01,New York,United States,0.4119999999999999
172928,2007-02-01,New York,United States,-4.713
172929,2007-03-01,New York,United States,2.947
172930,2007-04-01,New York,United States,8.02
172931,2007-05-01,New York,United States,16.677
172932,2007-06-01,New York,United States,20.868
172933,2007-07-01,New York,United States,22.295
172934,2007-08-01,New York,United States,22.063
172935,2007-09-01,New York,United States,19.0
172936,2007-10-01,New York,United States,15.222
172937,2007-11-01,New York,United States,4.831
172938,2007-12-01,New York,United States,-0.09399999999999996
172939,2008-01-01,New York,United States,-0.573
172940,2008-02-01,New York,United States,-0.675
172941,2008-03-01,New York,United States,3.47
172942,2008-04-01,New York,United States,10.943
172943,2008-05-01,New York,United States,13.64
172944,2008-06-01,New York,United States,21.831
172945,2008-07-01,New York,United States,23.693
172946,2008-08-01,New York,United States,20.887
172947,2008-09-01,New York,United States,18.676
172948,2008-10-01,New York,United States,10.347999999999999
172949,2008-11-01,New York,United States,5.132999999999999
172950,2008-12-01,New York,United States,0.3270000000000001
172951,2009-01-01,New York,United States,-5.359999999999999
172952,2009-02-01,New York,United States,-0.3719999999999999
172953,2009-03-01,New York,United States,3.5789999999999997
172954,2009-04-01,New York,United States,10.478
172955,2009-05-01,New York,United States,15.447000000000001
172956,2009-06-01,New York,United States,19.058
172957,2009-07-01,New York,United States,21.103
172958,2009-08-01,New York,United States,22.769
172959,2009-09-01,New York,United States,17.043
172960,2009-10-01,New York,United States,10.364
172961,2009-11-01,New York,United States,8.217
172962,2009-12-01,New York,United States,-0.6239999999999999
172963,2010-01-01,New York,United States,-2.359
172964,2010-02-01,New York,United States,-1.456
172965,2010-03-01,New York,United States,6.715
172966,2010-04-01,New York,United States,12.076
172967,2010-05-01,New York,United States,17.119
172968,2010-06-01,New York,United States,21.943
172969,2010-07-01,New York,United States,24.789
172970,2010-08-01,New York,United States,22.67
172971,2010-09-01,New York,United States,19.172
172972,2010-10-01,New York,United States,11.911
172973,2010-11-01,New York,United States,5.876
172974,2010-12-01,New York,United States,-2.165
172975,2011-01-01,New York,United States,-4.463
172976,2011-02-01,New York,United States,-1.2440000000000002
172977,2011-03-01,New York,United States,3.4739999999999998
172978,2011-04-01,New York,United States,10.555
172979,2011-05-01,New York,United States,16.917
172980,2011-06-01,New York,United States,21.032
172981,2011-07-01,New York,United States,24.564
172982,2011-08-01,New York,United States,22.13
172983,2011-09-01,New York,United States,19.301
172984,2011-10-01,New York,United States,12.001
172985,2011-11-01,New York,United States,8.013
172986,2011-12-01,New York,United States,2.987
172987,2012-01-01,New York,United States,-0.04100000000000037
172988,2012-02-01,New York,United States,2.185
172989,2012-03-01,New York,United States,8.734
172990,2012-04-01,New York,United States,10.324000000000002
172991,2012-05-01,New York,United States,17.779
172992,2012-06-01,New York,United States,20.165
172993,2012-07-01,New York,United States,24.479
172994,2012-08-01,New York,United States,22.731
172995,2012-09-01,New York,United States,18.177
172996,2012-10-01,New York,United States,12.436
172997,2012-11-01,New York,United States,4.103
172998,2012-12-01,New York,United States,2.5860000000000003
172999,2013-01-01,New York,United States,-0.968
173000,2013-02-01,New York,United States,-1.3650000000000002
173001,2013-03-01,New York,United States,2.518
173002,2013-04-01,New York,United States,9.723
173003,2013-05-01,New York,United States,15.544
173004,2013-06-01,New York,United States,20.892
173005,2013-07-01,New York,United States,24.722
173006,2013-08-01,New York,United States,21.001
173007,2013-09-01,New York,United States,17.407999999999998
